Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Owned,Rating,USD_MSRP,Total_Quantity,Current_Price
8744-1,Visorak Oohnorak,2005,Bionicle,Constraction,Visorak,Normal,{Not specified},2,{Not specified},47,,2063,3.9,,0,
8745-1,Visorak Roporak,2005,Bionicle,Constraction,Visorak,Normal,{Not specified},2,{Not specified},48,,1943,4.1,,0,
8746-1,Visorak Keelerak,2005,Bionicle,Constraction,Visorak,Normal,{Not specified},2,{Not specified},48,,2486,3.9,,0,
8747-1,Visorak Suukorak,2005,Bionicle,Constraction,Visorak,Normal,{Not specified},2,{Not specified},48,,2266,3.9,,2,48.5263
8748-1,Rhotuka Spinners,2005,Bionicle,Constraction,Accessories,Normal,{Not specified},0,{Not specified},5,,597,0,,3,4.3543
8755-1,Keetongu,2005,Bionicle,Constraction,Warriors,Normal,{Not specified},1,{Not specified},203,,1974,4.3,,1,97.0525
8756-1,Sidorak,2005,Bionicle,Constraction,Warriors,Normal,{Not specified},0,{Not specified},211,,1627,4.2,,0,
8757-1,Visorak Battle Ram,2005,Bionicle,Constraction,Playsets,Normal,{Not specified},2,{Not specified},189,14,1126,3.4,,1,109
8758-1,Tower of Toa,2005,Bionicle,Constraction,Playsets,Normal,{Not specified},2,{Not specified},410,14,999,3.6,,0,
8759-1,Battle of Metru Nui,2005,Bionicle,Constraction,Playsets,Normal,{Not specified},2,{Not specified},856,14,1135,4.4,,0,
8761-1,Roodaka,2005,Bionicle,Constraction,Warriors,Normal,{Not specified},1,{Not specified},233,,1524,4.6,,0,
8762-1,Toa Iruini,2005,Bionicle,Constraction,Toa Hagah,Normal,{Not specified},2,{Not specified},53,,2849,4.3,,1,100
8763-1,Toa Norik,2005,Bionicle,Constraction,Toa Hagah,Normal,{Not specified},2,{Not specified},55,,1610,4.4,,0,
8769-1,Visorak's Gate,2005,Bionicle,Constraction,Playsets,Normal,{Not specified},2,{Not specified},325,14,574,0,,0,
8791-1,Sir Danju,2005,Castle,Historical,Knights' Kingdom II,Normal,{Not specified},1,{Not specified},42,,1004,3.3,8.99,0,
8792-1,Sir Jayko,2005,Castle,Historical,Knights' Kingdom II,Normal,{Not specified},1,{Not specified},43,,1238,3.6,,0,
8793-1,Sir Rascus,2005,Castle,Historical,Knights' Kingdom II,Normal,{Not specified},1,{Not specified},44,,1148,3.7,,0,
8794-1,Sir Santis,2005,Castle,Historical,Knights' Kingdom II,Normal,{Not specified},1,{Not specified},44,,1041,3.6,,1,55
8795-1,Lord Vladek,2005,Castle,Historical,Knights' Kingdom II,Normal,Plastic canister,1,{Not specified},44,,1387,3.2,,0,
8796-1,King Mathias,2005,Castle,Historical,Knights' Kingdom II,Normal,{Not specified},1,{Not specified},43,,1299,3.6,,2,27
8801-1,Knights' Attack Barge,2005,Castle,Historical,Knights' Kingdom II,Normal,Box,1,Retail,172,2,820,3.5,,0,
8802-1,Dark Fortress Landing,2005,Castle,Historical,Knights' Kingdom II,Normal,Box,1,Retail,142,2,844,0,,0,
8873-1,Fireball Catapult,2005,Castle,Historical,Knights' Kingdom II,Normal,Box,2,Retail,46,2,1661,3.4,,0,
8874-1,Battle Wagon,2005,Castle,Historical,Knights' Kingdom II,Normal,Box,2,Retail,129,3,1518,4,,0,
8875-1,King's Siege Tower,2005,Castle,Historical,Knights' Kingdom II,Normal,Box,2,Retail,135,4,1602,3.8,,0,
8876-1,Scorpion Prison Cave,2005,Castle,Historical,Knights' Kingdom II,Normal,Box,2,Retail,280,5,1373,3.9,,0,
8877-1,Vladek's Dark Fortress,2005,Castle,Historical,Knights' Kingdom II,Normal,Box,2,Retail,967,9,2314,4.4,,0,
9231-1,Playhouse Set,2005,Education,Educational,Duplo,Normal,{Not specified},0,{Not specified},105,4,18,0,,0,
9232-1,Hospital Set,2005,Education,Educational,Duplo,Normal,{Not specified},0,{Not specified},100,7,20,0,,0,
9233-1,Farm Set,2005,Education,Educational,Duplo,Normal,{Not specified},0,{Not specified},98,4,16,0,,0,
9234-1,Dolls Family Set,2005,Education,Educational,Duplo,Normal,{Not specified},0,{Not specified},76,6,19,0,,0,
9236-1,Garden Set,2005,Education,Educational,Duplo,Normal,{Not specified},0,{Not specified},37,4,19,0,,0,
9237-1,Garage Set,2005,Education,Educational,Duplo,Normal,{Not specified},0,{Not specified},44,1,17,0,,0,
9238-1,Farm Animals Set,2005,Education,Educational,Duplo,Normal,{Not specified},0,{Not specified},43,1,22,0,,0,
9239-1,Stable Set,2005,Education,Educational,Duplo,Normal,{Not specified},0,{Not specified},46,2,16,0,,0,
9247-1,Community Workers,2005,Education,Educational,,Normal,{Not specified},0,{Not specified},202,31,316,0,49.99,0,
9543-1,Let's Play Maths,2005,Education,Educational,Duplo,Normal,{Not specified},0,{Not specified},124,,17,0,,0,
9544-1,Maths Machines,2005,Education,Educational,,Normal,{Not specified},1,{Not specified},555,2,19,0,,0,
9545-1,Numbers Set,2005,Education,Educational,Duplo,Normal,{Not specified},0,{Not specified},144,,24,0,,0,
9547-1,Letters Set,2005,Education,Educational,Duplo,Normal,{Not specified},0,{Not specified},146,,19,0,,0,
9762-1,Ocean Odyssey Challenge Kit,2005,Education,Educational,FIRST LEGO League Challenge,Normal,Box,0,Educational,1470,,21,0,,0,
10143-1,Death Star II,2005,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,1,LEGO exclusive,3441,,2884,4.4,269.99,6,1800
10144-1,Sandcrawler,2005,Star Wars,Licensed,Episode IV,Normal,Box,1,LEGO exclusive,1669,11,4564,4.4,139.99,5,388.88
10168-1,Mrs. Bunny,2005,Seasonal,Miscellaneous,Easter,Normal,Polybag,1,LEGO exclusive,61,,208,0,3.99,1,9
10169-1,Chicken & Chicks,2005,Seasonal,Miscellaneous,Easter,Normal,Polybag,1,LEGO exclusive,57,,176,0,3.99,0,
10170-1,TTX Intermodal Double-Stack Car,2005,Trains,Modern day,9V,Normal,Box,1,LEGO exclusive,366,,1292,4.2,,0,
10203-1,Voporak,2005,Bionicle,Constraction,Warriors,Collection,{Not specified},3,{Not specified},647,,375,0,,2,270
65573-1,Rumble Racers,2005,Racers,Racing,Product Collection,Collection,Box,0,Retail - limited,310,,23,0,,0,
65642-1,The Grand Tournament with sword and shield,2005,Castle,Historical,Product Collection,Collection,{Not specified},0,{Not specified},312,,52,0,,0,
65702-1,Bonus/Value Pack,2005,City,Modern day,Product Collection,Collection,Box,0,Retail - limited,312,,19,0,,,
65706-1,Bonus/Value Pack,2005,Racers,Racing,Product Collection,Collection,{Not specified},0,{Not specified},348,,6,0,,,
65716-1,Bonus/Value Pack,2005,Bionicle,Constraction,Product Collection,Collection,Box,0,Retail - limited,258,,38,0,,0,
65738-1,Bonus/Value Pack,2005,Bionicle,Constraction,Product Collection,Collection,{Not specified},0,{Not specified},143,,15,0,,,
65739-1,Bonus/Value Pack,2005,Bionicle,Constraction,Product Collection,Collection,{Not specified},0,{Not specified},142,,15,0,,,
65743-1,City Construction Value Pack,2005,City,Modern day,Product Collection,Collection,Box,0,Retail - limited,226,,102,0,,0,
65757-1,Special Edition Guardian Toa,2005,Bionicle,Constraction,Product Collection,Collection,{Not specified},0,{Not specified},108,,341,0,,0,
65764-1,Bonus/Value Pack,2005,Bionicle,Constraction,Product Collection,Collection,{Not specified},0,{Not specified},108,,15,0,,,
65766-1,Thomas Bridge & Tunnel Set,2005,Duplo,Pre-school,Product Collection,Collection,Box,0,Retail - limited,87,,72,0,,0,
65767-1,Attack from the Sea,2005,Castle,Historical,Product Collection,Collection,Box,0,Retail - limited,314,,224,0,,1,178
65768-1,Knights' Value Pack,2005,Castle,Historical,Product Collection,Collection,Box,0,Retail - limited,87,,44,0,,0,
65769-1,Vladek Value Pack,2005,Castle,Historical,Product Collection,Collection,Box,0,Retail - limited,86,,75,0,,0,
65771-1,Episode III Collectors' Set,2005,Star Wars,Licensed,Product Collection,Collection,Plastic box,0,Retail - limited,544,,368,0,,1,575
65773-1,Bonus/Value Pack,2005,Duplo,Pre-school,Product Collection,Collection,Box,0,Retail - limited,53,,17,0,,0,
65776-1,Bonus/Value Pack,2005,Castle,Historical,Product Collection,Collection,{Not specified},0,{Not specified},87,,12,0,,,
65777-1,City Fire Value Pack,2005,City,Modern day,Product Collection,Collection,Box,0,Retail - limited,595,,59,0,,0,
65778-1,Bonus/Value Pack,2005,City,Modern day,Product Collection,Collection,{Not specified},0,{Not specified},260,,15,0,,,
65783-1,Bonus/Value Pack,2005,Bionicle,Constraction,Product Collection,Collection,{Not specified},0,{Not specified},96,,16,0,,0,
65796-1,Bonus/Value Pack,2005,Bionicle,Constraction,Product Collection,Collection,{Not specified},0,{Not specified},141,,14,0,,,
65797-1,Bonus/Value Pack,2005,Bionicle,Constraction,Product Collection,Collection,{Not specified},0,{Not specified},144,,14,0,,,
65799-1,City Fire Value Pack,2005,City,Modern day,Product Collection,Collection,Box,0,Retail - limited,663,,63,0,,0,
65800-1,City Construction Value Pack,2005,City,Modern day,Product Collection,Collection,Box,0,Retail - limited,1012,,76,0,,0,
65808-1,Toa Hordika Value Pack,2005,Bionicle,Constraction,Product Collection,Collection,{Not specified},2,{Not specified},144,,73,0,,0,
65809-1,Bonus/Value Pack,2005,City,Modern day,Product Collection,Collection,{Not specified},0,{Not specified},110,,14,0,,,
65813-1,Bonus/Value Pack,2005,Bionicle,Constraction,Product Collection,Collection,{Not specified},0,{Not specified},264,,23,0,,1,300
65824-1,Bonus/Value Pack,2005,Castle,Historical,Product Collection,Collection,{Not specified},0,{Not specified},173,,13,0,,,
